"0x4B3B","0x4B3B","Jinggangshan Electric Co., Ltd","Jinggangshan Electric Co., Ltd","2016-02-17"
"0x4B40","0x4B41","EXCAF TELECOM","EXCAF TELECOM","2015-12-16"
"0x4B42","0x4B43","CI Plus LLP","CI Plus LLP","2016-02-07"
"0x4B4A","0x4B4A","TOPWELL INTERNATIONAL HOLDINGS LIMITED","TOPWELL INTERNATIONAL HOLDINGS LIMITED","2016-04-11"
"0x4B4B","0x4B4D","ABV International Pte Ltd","ABV International Pte Ltd","2016-09-08"
"0x4B50","0x4B53","Safeview India","Safeview India","2017-03-08"
"0x4B54","0x4B54","TELELYNX INC.","TELELYNX INC.","2017-06-06"
"0x4B60","0x4B60","KIWISAT LLC","KIWISAT LLC","2017-08-14"
"0x4B61","0x4B61","O2 Czech republic a.s.","O2 Czech republic a.s.","2017-11-21"
"0x4B62","0x4B62","GMA New Media, Inc.","GMA New Media, Inc.","2017-12-07"
"0x4B63","0x4B63","redCrypter","redCrypter","2018-06-12"
"0x4B64","0X4B64","Samsung Electronics","TVKey","2018-06-18"
"0x5347","0x5347","GkWare e.K.","GkWare e.K.","2006-06-13"
"0x5448","0x5448","GOSPELL DIGITAL TECHNOLOGY CO., LTD.","GOSPELL DIGITAL TECHNOLOGY CO., LTD.","2017-06-27"
"0x5449","0x5449","Gospell Digital Technology Co., Ltd.","Gospell Digital Technology Co., Ltd.","2020-12-14"
"0x5601","0x5601","Verimatrix, Inc. #1","Verimatrix, Inc. #1","2007-04-03"
"0x5602","0x5602","Verimatrix, Inc. #2","Verimatrix, Inc. #2","2008-07-16"
"0x5603","0x5603","Verimatrix, Inc. #3","Verimatrix, Inc. #3","2008-07-16"
"0x5604","0x5604","Verimatrix, Inc. #4","Verimatrix, Inc. #4","2008-07-16"
"0x5605","0x5606",,"Sichuan Juizhou Electronic Co. Ltd","2009-09-30"
"0x5607","0x5608","Viewscenes","Viewscenes","2009-10-23"
"0x5609","0x5609","Power On  s.r.l","Power On  s.r.l","2012-04-23"
"0x56A0","0x56A0","laxmi remote india private limited","laxmi remote india private limited","2014-07-31"
"0x56A1","0x56A1","C-DOT","C-DOT","2018-05-25"
"0x56B0","0x56B0","LAXMI REMOTE INDIA PVT LTD","LAXMI REMOTE INDIA PVT LTD","2019-06-17"
"0x56C0","0x56C9","Google","Google","2020-08-10"
"0x56D0","0x56D0","Onnet Systems India Private Limited","Onnet Systems India Private Limited","2021-06-11"
"0x56D1","0x56D1","redCrypter","redCrypter","2021-09-23"
"0x56D2","0x56D2","IMAQLIQ Service LLC","IMAQLIQ Service LLC","2023-04-11"
"0x6448","0x6449","Gospell Digital Technology Co., Ltd.","Gospell Digital Technology Co., Ltd.","2020-12-14"
"0x7700","0x7704","LCC Cifra","LCC Cifra","2023-03-16"
"0x7BE0","0x7BE1","OOO ","OOO ","2009-12-03"
"0xAA00","0xAA00","Best CAS Ltd","Best CAS Ltd","2009-08-26"
"0xAA01","0xAA01","BestCAS Ltd","BestCAS Ltd","2012-08-30"
